author,papers_count
Tong Zhang,9
Terence Sanger,6
Shumeet Baluja,5
Wolfgang Maass,5
Francis Bach,5
Liam Paninski,5
Peter Dayan,5
Sebastian Thrun,5
Timothy Brown,4
Joshua Tenenbaum,4
"Zeyuan Allen-Zhu, Yuanzhi Li",4
Tom Heskes,4
"Elad Hazan, Satyen Kale",4
"Phil Long, Rocco Servedio",4
"Nathan Kallus, Angela Zhou",4
"Manfred Opper, Ole Winther",4
Hagai Attias,4
"Kevin Bello, Jean Honorio",4
"Clayton Scott, Robert Nowak",4
"Ahmed M. Alaa, Mihaela van der Schaar",4
"Francis Bach, Michael Jordan",4
John Platt,4
Matthias Seeger,4
"Nuno Vasconcelos, Andrew Lippman",4
Sumio Watanabe,4
Geoffrey J. Gordon,4
"Sheng Chen, Arindam Banerjee",4
"Eric Chang, Richard P. Lippmann",4
Bartlett Mel,4
Justin Domke,4
"Nicol Schraudolph, Terrence J. Sejnowski",4
"Dörthe Malzahn, Manfred Opper",4
David Cohn,4
Peter Sollich,4
Shinji Ito,4
"Shinji Ito, Daisuke Hatano, Hanna Sumita, Kei Takemura, Takuro Fukunaga, Naonori Kakimura, Ken-Ichi Kawarabayashi",3
"Sanghack Lee, Elias Bareinboim",3
"Emmanouil-Vasileios Vlatakis-Gkaragkounis, Lampros Flokas, Georgios Piliouras",3
"Kiran K. Thekumparampil, Prateek Jain, Praneeth Netrapalli, Sewoong Oh",3
Sam Roweis,3
Yaser Abu-Mostafa,3
"Alan A. Stocker, Eero Simoncelli",3
Michael Tipping,3
"Vikas Garg, Tommi Jaakkola",3
Ohad Shamir,3
"Fang Han, Han Liu",3
"Máté Lengyel, Peter Dayan",3
"James Coughlan, Alan L. Yuille",3
Christopher Atkeson,3
"Tomoya Murata, Taiji Suzuki",3
"Sepp Hochreiter, Jürgen Schmidhuber",3
"Quoc Phong Nguyen, Bryan Kian Hsiang Low, Patrick Jaillet",3
"Vinod Nair, Geoffrey E. Hinton",3
Jürgen Schmidhuber,3
"Tomas Geffner, Justin Domke",3
Adam Kowalczyk,3
"Brian Zhang, Tuomas Sandholm",3
"Marina Meila, Michael Jordan",3
"Junzhe Zhang, Elias Bareinboim",3
Zhaoping Li,3
"Oren Mangoubi, Nisheeth Vishnoi",3
"Dheeraj Baby, Yu-Xiang Wang",3
Michael C. Mozer,3
Yves Chauvin,3
Guangmo Tong,3
"Corinna Cortes, Mehryar Mohri",3
"Yi Hao, Alon Orlitsky",3
"Alberto Bietti, Julien Mairal",3
Emanuel Todorov,3
Gerald Tesauro,3
Yuhong Guo,3
Nathan Intrator,3
"Geoffrey E. Hinton, Russ R. Salakhutdinov",3
"Pascal Poupart, Craig Boutilier",3
"Peter Dayan, Angela J. Yu",3
Ralph Linsker,3
Matthew Brand,3
Padhraic Smyth,3
"Chong Wang, David Blei",3
"Jeongyeol Kwon, Yonathan Efroni, Constantine Caramanis, Shie Mannor",3
"Guy Lebanon, John Lafferty",3
Yong Liu,3
Andrew Moore,3
"Jiechuan Jiang, Zongqing Lu",3
"Martin Szummer, Tommi Jaakkola",3
"Anand Kalvit, Assaf Zeevi",3
"Yinglun Zhu, Robert Nowak",3
"Yue Xing, Qifan Song, Guang Cheng",3
"Eran Malach, Shai Shalev-Shwartz",3
"Xiaoyun Li, Ping Li",3
Christopher Williams,3
"Lawrence Saul, Michael Jordan",3
David Rogers,3
Bill Baird,3
Amir-massoud Farahmand,3
"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto, Massimiliano Pontil",3
Alan L. Yuille,3
"Yoshua Bengio, Paolo Frasconi",3
Geoffrey Goodhill,3
"Michael Lewicki, Terrence J. Sejnowski",3
Bernd Fritzke,3
"John T. Halloran, David M. Rocke",3
Stephen Omohundro,3
Suzanna Becker,3
"Mikhail Belkin, Partha Niyogi",3
"Ofer Dekel, Yoram Singer",3
"Ashish Khetan, Sewoong Oh",3
"Emmanuel Abbe, Colin Sandon",3
"Yossi Arjevani, Michael Field",3
"Christopher Bishop, Markus Svensén, Christopher Williams",2
"Ohad Shamir, Naftali Tishby",2
"Linjian Ma, Edgar Solomonik",2
"Joshua Tenenbaum, Thomas Griffiths",2
Carl Rasmussen,2
"Szabolcs Káli, Peter Dayan",2
"Mehryar Mohri, Afshin Rostamizadeh",2
"Vasken Bohossian, Jehoshua Bruck",2
"Mehryar Mohri, Scott Yang",2
"Wei Ping, Qiang Liu, Alexander T. Ihler",2
"Dylan J. Foster, Akshay Krishnamurthy",2
"Walid Krichene, Alexandre Bayen, Peter L. Bartlett",2
"Shashank Singh, Barnabas Poczos",2
"Igor Cadez, Padhraic Smyth",2
Ralph Neuneier,2
"Hao Wang, Xingjian SHI, Dit-Yan Yeung",2
"Ian Stevenson, Konrad Koerding",2
"Wenrui Zhang, Peng Li",2
"Eiji Mizutani, James Demmel",2
"Eszter Vértes, Maneesh Sahani",2
"Michal Derezinski, Manfred K. K. Warmuth",2
"Lizhong Wu, John Moody",2
"David Wipf, Srikantan Nagarajan",2
"Andrew Guillory, Jeff A. Bilmes",2
"Trevor Hastie, Robert Tibshirani",2
"Soeren Laue, Matthias Mitterreiter, Joachim Giesen",2
"Sham Kakade, Peter Dayan",2
"Daniel Bartz, Klaus-Robert Müller",2
"Rémi Jézéquel, Pierre Gaillard, Alessandro Rudi",2
"Sagie Benaim, Lior Wolf",2
"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon",2
Sanjoy Dasgupta,2
"Charles Stevens, Anthony Zador",2
"Richard Zemel, Geoffrey E. Hinton",2
"Mao Ye, Lemeng Wu, Qiang Liu",2
"Vincent LE GUEN, Nicolas THOME",2
Pierre Baldi,2
"Fredrik Hellström, Giuseppe Durisi",2
"Joris M. Mooij, Hilbert Kappen",2
"John Bradshaw, Brooks Paige, Matt J. Kusner, Marwin Segler, José Miguel Hernández-Lobato",2
"Ziyu Jiang, Tianlong Chen, Ting Chen, Zhangyang Wang",2
"Vincent Cohen-Addad, Silvio Lattanzi, Ashkan Norouzi-Fard, Christian Sohler, Ola Svensson",2
"Daniel Russo, Benjamin Van Roy",2
"Yuan Deng, Jon Schneider, Balasubramanian Sivan",2
"Shai Avidan, Moshe Butman",2
"Jian Zhang, Zoubin Ghahramani, Yiming Yang",2
"Wenkai Xu, Gesine D Reinert",2
"Steven Nowlan, Geoffrey E. Hinton",2
Paul Wagner,2
Yao-Liang Yu,2
"Boyi Liu, Qi Cai, Zhuoran Yang, Zhaoran Wang",2
"Minjing Dong, Yunhe Wang, Xinghao Chen, Chang Xu",2
"Omar Montasser, Steve Hanneke, Nati Srebro",2
"Yuan Cao, Quanquan Gu",2
Julien Mairal,2
"Maxim Raginsky, Svetlana Lazebnik",2
"Anthony Kuh, Thomas Petsche, Ronald Rivest",2
"Enrique Fita Sanmartin, Sebastian Damrich, Fred A. Hamprecht",2
"Jean Tarbouriech, Matteo Pirotta, Michal Valko, Alessandro Lazaric",2
"Ofer Dekel, Shai Shalev-shwartz, Yoram Singer",2
"David I. Inouye, Pradeep K. Ravikumar, Inderjit S. Dhillon",2
"Michael S Matena, Colin A. Raffel",2
"Kaushik Sinha, Mikhail Belkin",2
"Thomas Griffiths, Joshua Tenenbaum",2
"Peter Sykacek, Stephen J. Roberts",2
"Steve Waterhouse, Anthony Robinson",2
"Boris Muzellec, Marco Cuturi",2
Dirk van der Hoeven,2
"Liefeng Bo, Xiaofeng Ren, Dieter Fox",2
"Mehryar Mohri, Andres Munoz",2
"Constantinos Daskalakis, Dhruv Rohatgi, Emmanouil Zampetakis",2
"Thomas Natschläger, Wolfgang Maass",2
"Vincent Cohen-Addad, Varun Kanade, Frederik Mallmann-Trenn",2
Kenji Doya,2
"Gaurang Sriramanan, Sravanti Addepalli, Arya Baburaj, Venkatesh Babu R",2
"Eunho Yang, Aurelie C. Lozano, Pradeep K. Ravikumar",2
"André van Schaik, Eric Fragnière, Eric Vittoz",2
"Robert Legenstein, Wolfgang Maass",2
"Khai Nguyen, Nhat Ho",2
"Muhammad Osama, Dave Zachariah, Peter Stoica",2
"Fan Wu, Patrick Rebeschini",2
"Yue Wang, Justin M. Solomon",2
"Peisong Wen, Qianqian Xu, Zhiyong Yang, Yuan He, Qingming Huang",2
"Chulhee Yun, Suvrit Sra, Ali Jadbabaie",2
"Peter Kairouz, Sewoong Oh, Pramod Viswanath",2
"Yuhong Guo, Dale Schuurmans",2
"Mario Marchand, Saeed Hadjifaradji",2
Claudio Gentile,2
"Josip Djolonga, Andreas Krause",2
"Thore Graepel, Ralf Herbrich",2
"Gen Li, Yuting Wei, Yuejie Chi, Yuantao Gu, Yuxin Chen",2
"Muhammad Akhtar Munir, Muhammad Haris Khan, M. Sarfraz, Mohsen Ali",2
"Pascal Vincent, Yoshua Bengio",2
"Ralf Herbrich, Thore Graepel",2
"Alaa Saade, Florent Krzakala, Lenka Zdeborová",2
"Paul Micaelli, Amos J. Storkey",2
"Ananya Uppal, Shashank Singh, Barnabas Poczos",2
"Carl Rasmussen, Zoubin Ghahramani",2
"Tomoharu Iwata, Atsutoshi Kumagai",2
"Guy Blanc, Neha Gupta, Jane Lange, Li-Yang Tan",2
"Maria-Florina F. Balcan, Siddharth Prasad, Tuomas Sandholm, Ellen Vitercik",2
"Reimar Hofmann, Volker Tresp",2
Kunal Talwar,2
"Jacob Steinhardt, Percy S. Liang",2
"Ming Yin, Yu-Xiang Wang",2
"David Saad, Sara Solla",2
Yoram Singer,2
"Garrett Bernstein, Daniel R. Sheldon",2
"Chicheng Zhang, Kamalika Chaudhuri",2
"Andrej Risteski, Yuanzhi Li",2
"Hilbert Kappen, Wim Wiegerinck",2
"Adam Kowalczyk, Herman Ferrá",2
"Jian Wu, Peter Frazier",2
"Nicolò Cesa-bianchi, Alex Conconi, Claudio Gentile",2
"Daniel Jarrett, Ioana Bica, Mihaela van der Schaar",2
Dawei Dong,2
"Asier Mujika, Florian Meier, Angelika Steger",2
"Andreas Christmann, Ingo Steinwart",2
"Aurel A. Lazar, Yevgeniy Slutskiy",2
"Rafael Frongillo, Bo Waggoner",2
"Anthony Bell, Terrence J. Sejnowski",2
"Richard Turner, Maneesh Sahani",2
"Yichuan Zhang, Charles Sutton",2
"David Barber, Felix Agakov",2
